"WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_003","WMS_53_WATER_003","WMS_53_WATER_003"
369.27,130785.11,125636.09,369.27,130785.11,120487.07,369.27,130785.11,117397.65,369.27,130785.11,123782.44,369.27,28092.88,4854.18,369.27,28092.88,2866.48,369.27,28092.88,1373.96,369.27,28092.88,18238.06,369.27,8000,131,369.27,8000,122,369.27,8000,136,369.27,8000,4580
371,138163.95,131855.1,371,138163.95,126177.12,371,138163.95,123443.29,371,138163.95,130803.62,371,29571.43,5075.06,371,29571.43,3040.78,371,29571.43,1495.58,371,29571.43,19293.73,371,8336,131,371,8336,127,371,8336,142,371,8336,4758
372.73,151115.98,145813.66,372.73,151115.98,139627.63,372.73,151115.98,136534.61,372.73,151115.98,142057.86,372.73,31855.7,5493.36,372.73,31855.7,3335.26,372.73,31855.7,1616.76,372.73,31855.7,20680.05,372.73,8720,140,372.73,8720,134,372.73,8720,146,372.73,8720,4962
374.46,159634.03,153231,374.46,159634.03,147269.57,374.46,159634.03,142853.69,374.46,159634.03,151464.65,374.46,34160.07,5820.73,374.46,34160.07,3615.91,374.46,34160.07,1760.18,374.46,34160.07,22121.73,374.46,9232,143,374.46,9232,138,374.46,9232,155,374.46,9232,5232
376.19,169695.37,162854.59,376.19,169695.37,156234.49,376.19,169695.37,152041.75,376.19,169695.37,159765.21,376.19,36132.59,6110.23,376.19,36132.59,3907.02,376.19,36132.59,1880.07,376.19,36132.59,23434.78,376.19,9824,153,376.19,9824,144,376.19,9824,160,376.19,9824,5538
377.92,181408.09,173365.36,377.92,181408.09,166886.5,377.92,181408.09,163311.96,377.92,181408.09,171354.68,377.92,38535.27,6658.24,377.92,38535.27,4198.22,377.92,38535.27,2062.29,377.92,38535.27,24924.19,377.92,10408,158,377.92,10408,152,377.92,10408,171,377.92,10408,5872
379.64,192397.55,185817.92,379.64,192397.55,177423.22,379.64,192397.55,173112.42,379.64,192397.55,182414.66,379.64,39758.6,7205.16,379.64,39758.6,4514.08,379.64,39758.6,2155.76,379.64,39758.6,25688.28,379.64,10936,168,379.64,10936,159,379.64,10936,178,379.64,10936,6144
381.37,194073.06,184820.99,381.37,194073.06,178212.37,381.37,194073.06,174026.92,381.37,194073.06,183499.27,381.37,42434.09,7768.79,381.37,42434.09,4995.27,381.37,42434.09,2361.54,381.37,42434.09,27212.84,381.37,11480,171,381.37,11480,163,381.37,11480,181,381.37,11480,6382
383.09,204909.62,197361.49,383.09,204909.62,188925.34,383.09,204909.62,184041.25,383.09,204909.62,193587.42,383.09,43964.06,8527.76,383.09,43964.06,5430.69,383.09,43964.06,2506.47,383.09,43964.06,28082.55,383.09,12160,183,383.09,12160,173,383.09,12160,196,383.09,12160,6698
384.81,220831.25,211134.07,384.81,220831.25,203420.4,384.81,220831.25,198131.03,384.81,220831.25,208489.38,384.81,47408,9636.47,384.81,47408,6123.17,384.81,47408,2781.96,384.81,47408,30178.5,384.81,13192,190,384.81,13192,183,384.81,13192,209,384.81,13192,7208
386.53,239834.56,230796.67,386.53,239834.56,221097.48,386.53,239834.56,215807.01,386.53,239834.56,227490.13,386.53,50780.39,10929.93,386.53,50780.39,6891.22,386.53,50780.39,3039.62,386.53,50780.39,32161.39,386.53,14352,209,386.53,14352,199,386.53,14352,223,386.53,14352,7784
388.25,259755.85,249900.02,388.25,259755.85,238511.06,388.25,259755.85,233254.62,388.25,259755.85,245300.63,388.25,54779.78,12448.68,388.25,54779.78,7825.68,388.25,54779.78,3348.89,388.25,54779.78,34561.11,388.25,15672,226,388.25,15672,218,388.25,15672,241,388.25,15672,8462
