,Wavelength,Reference,Raw_Irr_000,Raw_Irr_001,Raw_Irr_002,Raw_Irr_003,Irr_000,Irr_001,Irr_002,Irr_003,Avg_Irr
138,523.71,453478.54,475910.07,430700.73,422351.43,417965.16,0.47591007,0.43070073,0.42235142999999997,0.41796515999999995,0.43673184749999994
139,525.34,443137.96,465608.76,421011.69,412743.05,408647.01,0.46560876,0.42101169,0.41274305,0.40864701000000003,0.42700262750000006
140,526.98,454936.85,477556.97,431408.89,423389.72,418510.13,0.47755696999999997,0.43140889,0.42338971999999997,0.41851013,0.43771642749999995
141,528.62,472290.63,495640.16,448199.84,439453.03,434709.0,0.49564016,0.44819984,0.43945303,0.434709,0.4545005075
142,530.25,470130.88,493343.21,446160.45,437713.04,433128.33,0.49334321000000003,0.44616045,0.43771304,0.43312833,0.4525862575
143,531.89,463016.01,485851.11,439444.28,431306.43,426535.96,0.48585111,0.43944428,0.43130643,0.42653596000000005,0.44578444500000003
144,533.52,470364.87,493265.51,446171.18,437732.31,433172.6,0.49326551,0.44617118,0.43773231,0.43317259999999996,0.45258539999999997
145,535.16,471129.03,494069.88,446504.76,438318.67,433631.48,0.49406988,0.44650476,0.43831866999999997,0.43363147999999996,0.45313119749999997
146,536.79,466485.47,488815.34,442099.32,433906.35,429151.21,0.48881534000000004,0.44209932,0.43390635,0.42915121,0.44849305500000003
147,538.42,455802.32,477741.51,432108.0,424491.96,419445.95,0.47774151000000004,0.432108,0.42449196,0.41944595,0.438446855
148,540.05,450933.28,472415.08,427085.11,419186.94,414454.19,0.47241508000000004,0.42708511,0.41918694,0.41445419,0.43328533
149,541.68,455642.3,477076.8,431085.09,422929.67,419139.98,0.47707679999999997,0.43108509,0.42292967,0.41913997999999997,0.437557885
150,543.31,458946.68,480326.55,434473.93,426726.72,422192.51,0.48032654999999996,0.43447393,0.42672671999999995,0.42219251,0.44092992750000004
151,544.94,457475.11,479423.39,433164.55,425479.66,420545.78,0.47942339,0.43316455,0.42547966,0.42054578000000004,0.43965334500000003
152,546.57,453327.4,474762.1,429471.21,421668.62,417333.85,0.47476209999999996,0.42947121000000005,0.42166862,0.41733384999999995,0.43580894499999995
153,548.2,453980.6,476000.71,430278.2,422137.07,418111.57,0.47600071,0.4302782,0.42213707,0.41811157,0.4366318875
154,549.83,453208.96,474684.9,428942.37,421389.39,416839.4,0.4746849,0.42894237,0.42138939000000003,0.4168394,0.43546401500000004
155,551.45,451520.49,473078.66,428022.08,420199.55,415518.35,0.47307866,0.42802208,0.42019955,0.41551835,0.43420465999999996
156,553.08,453090.97,474376.7,428979.69,420942.6,416578.72,0.4743767,0.42897969,0.4209426,0.41657871999999996,0.4352194275
157,554.7,451187.93,472768.98,427336.87,419631.63,415251.48,0.47276898,0.42733687,0.41963163,0.41525148,0.43374724
158,556.33,442721.16,463475.76,419197.12,411866.22,406881.21,0.46347576,0.41919712,0.41186621999999995,0.40688121000000005,0.4253550775
159,557.95,435957.97,456419.88,412714.82,405331.32,401192.58,0.45641988,0.41271482,0.40533132,0.40119258,0.41891465
160,559.58,441187.29,461733.44,417110.3,409914.11,405206.32,0.46173344,0.4171103,0.40991411,0.40520632,0.4234910425
161,561.2,445365.39,465989.49,421049.95,413362.48,409434.08,0.46598949,0.42104995,0.41336248,0.40943408000000003,0.42745900000000003
162,562.82,447602.6,468459.24,423484.98,416011.92,411901.73,0.46845924,0.42348497999999996,0.41601192,0.41190172999999997,0.42996446749999995
163,564.44,444771.2,465298.58,420388.59,413523.59,409093.46,0.46529858,0.42038859,0.41352359000000005,0.40909346,0.427076055
164,566.06,445012.8,465561.64,420715.65,413252.47,409035.61,0.46556164,0.42071565,0.41325247,0.40903561,0.4271413425
165,567.68,442750.27,462633.57,418077.8,411306.9,406385.62,0.46263357,0.4180778,0.41130690000000003,0.40638562,0.4246009725
166,569.3,437662.77,457964.21,413411.13,406546.85,402370.0,0.45796421000000004,0.41341113,0.40654684999999996,0.40237,0.42007304749999996
167,570.92,442057.91,462339.56,417574.6,409992.68,405696.25,0.46233956,0.41757459999999996,0.40999268,0.40569625,0.4239007725
168,572.53,450626.12,471727.52,425421.66,418418.7,413945.45,0.47172752,0.42542166,0.41841870000000003,0.41394545,0.4323783325
169,574.15,447288.86,467590.18,422279.54,415022.64,410434.6,0.46759017999999997,0.42227953999999995,0.41502264,0.4104346,0.4288317399999999
