Wavelength,WMS_47,WMS_48,WMS_49,WMS_50,WMS_51,WMS_52,WMS_53,WMS_54,WMS_55,WMS_56,WMS_59,WMS_60,WMS_61,WMS_62,WMS_64,WMS_65,WMS_66,WMS_67,WMS_68,WMS_69,WMS_70,WMS_71
341,0.00152944,0.001939582,0.002151319,0.002151319,0.003077409,0.002640611,0.00298585,0.003446937,0.002867876,0.003083437,0.003362699,0.00407254,0.009121478,0.004342983,0.012064564,0.006989011,0.006449695,0.0049796,0.006474237,0.010975495,0.010523916,0.010697834
342,0.001382518,0.001930108,0.002120972,0.002120972,0.002985731,0.002514181,0.002908347,0.003454448,0.002736624,0.003123286,0.00330265,0.004153751,0.009084706,0.00436298,0.012010018,0.00695585,0.006276188,0.004917482,0.006399209,0.010994397,0.010440034,0.010641609
343,0.001296354,0.001850965,0.002141099,0.002141099,0.00296423,0.002421277,0.002886568,0.00345725,0.002765127,0.003066229,0.003329609,0.004127531,0.009009633,0.004409135,0.012083877,0.006912542,0.006244292,0.004980769,0.006425145,0.010860801,0.010388825,0.010751186
344,0.001224844,0.001778041,0.001986419,0.001986419,0.002937274,0.002301684,0.002798969,0.003418635,0.002771204,0.002988934,0.00341548,0.004007832,0.009105174,0.004368334,0.012130142,0.006816409,0.006119149,0.004927216,0.006361963,0.010821488,0.01026038,0.010770335
345,0.001182491,0.001717029,0.001851605,0.001851605,0.002912778,0.002235205,0.002703216,0.003435862,0.002682955,0.002946141,0.003433491,0.003937139,0.00936452,0.004325539,0.012247116,0.006796244,0.006120954,0.004869943,0.006247463,0.010920323,0.010082523,0.010717724
346,0.001125484,0.001649799,0.001891598,0.001891598,0.002893736,0.002195416,0.002673281,0.003494506,0.002617132,0.002923588,0.003392591,0.003959924,0.009453253,0.004369701,0.012391685,0.006828906,0.006216006,0.004929509,0.006222081,0.010924873,0.009981901,0.010755541
347,0.000986979,0.001569823,0.001914691,0.001914691,0.002816316,0.002130485,0.002640309,0.003412469,0.002443819,0.002852753,0.003271246,0.003964226,0.009525673,0.00440597,0.012494494,0.00687497,0.006273203,0.004899275,0.006258417,0.010971582,0.009941781,0.010724001
348,0.000905482,0.001557076,0.001897792,0.001897792,0.002757938,0.002105343,0.00263727,0.003271787,0.00233633,0.002804472,0.0031908,0.003945743,0.009509361,0.004398078,0.012452733,0.006888373,0.006235348,0.004809475,0.006320137,0.011013742,0.010002283,0.010654644
349,0.000840616,0.001533428,0.001882758,0.001882758,0.002669404,0.002004002,0.002583055,0.003209574,0.002322241,0.002734756,0.003156032,0.003916526,0.009536437,0.004281297,0.0124242,0.006970014,0.006165541,0.004734514,0.006272433,0.011026502,0.009938425,0.010734697
350,0.000857249,0.001522526,0.001884624,0.001884624,0.002639249,0.001927804,0.002531879,0.003288042,0.002415642,0.002713321,0.00320171,0.003905793,0.009579826,0.004172407,0.012437428,0.007038252,0.006133588,0.004749355,0.006163009,0.010997103,0.009814064,0.010884106
351,0.000769388,0.001458302,0.001835583,0.001835583,0.002555206,0.001767031,0.00240575,0.003272373,0.002388462,0.002712324,0.003244746,0.003956794,0.009710969,0.004067128,0.012469303,0.006960826,0.00608711,0.004689301,0.006307312,0.010872421,0.009754399,0.011129954
352,0.000604222,0.001369265,0.001753426,0.001753426,0.002460257,0.001626074,0.002291292,0.003191626,0.002278414,0.002718917,0.003181879,0.003970052,0.009870555,0.004076843,0.012442923,0.006900039,0.005999196,0.004640388,0.006456971,0.010815845,0.009576128,0.011249238
353,0.00054355,0.001333551,0.001722175,0.001722175,0.002419196,0.001569691,0.002251786,0.003205016,0.002288946,0.002705073,0.003121654,0.003921575,0.009942387,0.004082945,0.012397894,0.006984917,0.005925805,0.004666368,0.006352903,0.01085455,0.009333162,0.011272083
354,0.000425879,0.001283257,0.001643067,0.001643067,0.002361508,0.001465806,0.002175407,0.003188911,0.002312443,0.002629002,0.003089219,0.003833431,0.010002782,0.004090583,0.012506239,0.007028555,0.005806398,0.004674616,0.006282273,0.010866703,0.009195188,0.011198948
355,0.000368881,0.001268677,0.00159521,0.00159521,0.002344882,0.001418304,0.002138535,0.003159416,0.002325408,0.002566775,0.003117008,0.003793764,0.009991345,0.004092118,0.012659612,0.006987314,0.00576038,0.004656883,0.00631571,0.01084015,0.009300181,0.011102968
356,0.000277481,0.001217422,0.001567276,0.001567276,0.002307586,0.001320906,0.002050563,0.003158666,0.002273746,0.002505089,0.003097974,0.003746982,0.010006223,0.004060601,0.012751332,0.006943073,0.005784612,0.004657358,0.006279186,0.010839128,0.009368697,0.010923939
357,0.00024308,0.001180747,0.001587199,0.001587199,0.002286916,0.001271011,0.001999464,0.003187411,0.00220912,0.00250563,0.003051149,0.003739867,0.010032539,0.004027549,0.012689678,0.006940071,0.005854862,0.004675567,0.006209225,0.010864658,0.00933222,0.010840891
358,0.000202747,0.00110591,0.001568852,0.001568852,0.002200048,0.001159132,0.001933563,0.003175732,0.002170684,0.002512968,0.002945659,0.003734741,0.010018804,0.004011325,0.012611631,0.00690821,0.00592095,0.004653527,0.006157401,0.010826741,0.009379747,0.010714073
359,0.000157058,0.001027868,0.001482141,0.001482141,0.002109176,0.001076618,0.001862743,0.003069089,0.002155184,0.002518043,0.002876991,0.00368512,0.009963842,0.004003346,0.012657939,0.006846627,0.00584,0.004560998,0.006162106,0.010784853,0.009346782,0.010746716
360,0.000117299,0.000987988,0.0014337,0.0014337,0.002084501,0.001056088,0.001806724,0.00300287,0.002113494,0.002516322,0.002866988,0.003633509,0.00994893,0.00397854,0.01272064,0.006813903,0.005763211,0.004508716,0.006148674,0.010806413,0.009229813,0.010823128
361,4.19E-05,0.000959519,0.001372888,0.001372888,0.00200297,0.000957975,0.001728679,0.002962739,0.002053531,0.002495991,0.002874665,0.003597397,0.010037478,0.003924836,0.012695274,0.006739557,0.005592827,0.004453995,0.006093987,0.01084963,0.009158835,0.01087232
362,6.36E-06,0.000970929,0.001360518,0.001360518,0.001946113,0.000880392,0.001706653,0.002988827,0.002035258,0.002477381,0.002892346,0.003612895,0.010140939,0.003895938,0.012607207,0.006697934,0.005499232,0.004451556,0.006052732,0.010871288,0.009204825,0.0108451
363,-0.000100596,0.000947042,0.001348993,0.001348993,0.001882122,0.000790489,0.00170632,0.003018954,0.001986613,0.002439651,0.002922512,0.003563183,0.010207858,0.003908005,0.01252085,0.006689802,0.005465255,0.004445703,0.005979066,0.010842843,0.00920931,0.010825452
364,-0.00017196,0.000911744,0.001349839,0.001349839,0.00187499,0.000778171,0.001728012,0.003022992,0.001956239,0.002420532,0.002934998,0.003497974,0.010171317,0.00394897,0.01252256,0.006723294,0.005524873,0.004442289,0.005946654,0.01079274,0.009167805,0.010833025
365,-0.000176606,0.00087594,0.001332558,0.001332558,0.001833211,0.000728729,0.001646632,0.002974224,0.001937584,0.002375626,0.002957611,0.003432459,0.010131513,0.003889987,0.012484921,0.006722344,0.005481589,0.00439259,0.00589296,0.010730053,0.009079496,0.010766931
366,-0.000183232,0.000823653,0.00128588,0.00128588,0.001786883,0.000633627,0.001534799,0.002887747,0.001934,0.002352572,0.0029376,0.003443878,0.010086134,0.003790207,0.012481908,0.006674823,0.005374389,0.004369633,0.005899978,0.0107332,0.009022048,0.010665565
367,-0.000256575,0.000771872,0.00125733,0.00125733,0.0017752,0.000575649,0.001526038,0.002854077,0.001918698,0.002355305,0.002907461,0.003455603,0.010044017,0.003790376,0.012518244,0.006661742,0.005370092,0.004392962,0.005928277,0.01074893,0.009011403,0.010637866
368,-0.000316527,0.000724351,0.00121524,0.00121524,0.001740011,0.000526568,0.001511344,0.002848651,0.001871393,0.002380861,0.002837624,0.003452719,0.01006356,0.003743971,0.012537921,0.006634649,0.00538787,0.004389695,0.00593304,0.010738516,0.008949329,0.010707761
369,-0.000303136,0.00072861,0.001201701,0.001201701,0.001716504,0.000535466,0.001505411,0.002876895,0.001839389,0.002403684,0.002797925,0.00343811,0.01012522,0.003697398,0.012521261,0.006620638,0.005409946,0.004363099,0.005909505,0.010712373,0.008897898,0.010805355
370,-0.000337246,0.000746388,0.001212608,0.001212608,0.001660907,0.000512226,0.001471275,0.002916844,0.001858343,0.002360778,0.002749542,0.003414132,0.01005928,0.003612344,0.012487521,0.006586733,0.005330747,0.004324936,0.005825544,0.010675511,0.00886019,0.010607272
371,-0.000384748,0.000759907,0.001237054,0.001237054,0.001628816,0.000480089,0.001443071,0.002928549,0.001909301,0.002295049,0.002740858,0.003404764,0.009931681,0.003573863,0.012470441,0.006566839,0.00522947,0.004313369,0.005765119,0.010664791,0.008873912,0.010311594
371,-0.000412846,0.000732244,0.001221564,0.001221564,0.001616671,0.0004752,0.001453048,0.002904491,0.001876809,0.002249474,0.002729222,0.003358718,0.009943585,0.003590013,0.012352512,0.00655376,0.005258161,0.0042973,0.005765726,0.010625332,0.008812985,0.010391684
372,-0.000440945,0.00070458,0.001206074,0.001206074,0.001604527,0.000470311,0.001463024,0.002880433,0.001844318,0.002203898,0.002717586,0.003312672,0.009955489,0.003606164,0.012234583,0.00654068,0.005286851,0.004281232,0.005766333,0.010585873,0.008752059,0.010471774
373,-0.00047944,0.00065911,0.001199294,0.001199294,0.001600605,0.000427776,0.001445012,0.002858369,0.001796179,0.00218891,0.00271631,0.003278465,0.009945677,0.00360935,0.012163764,0.006515563,0.005306604,0.004231612,0.005786485,0.010539908,0.008717112,0.010585363
374,-0.000489837,0.000641304,0.001208004,0.001208004,0.001608828,0.000390129,0.001417023,0.002860363,0.001780531,0.002219497,0.002726669,0.003290303,0.00992396,0.003596386,0.012210873,0.006503525,0.005297667,0.00419806,0.00580603,0.010533402,0.008743092,0.010618863
375,-0.00050769,0.000628516,0.001199691,0.001199691,0.001587261,0.000321709,0.001370542,0.002864105,0.001751756,0.002249503,0.00272944,0.0033053,0.009879089,0.003585504,0.012212537,0.006489768,0.005282131,0.004154072,0.005810756,0.010504152,0.008691463,0.010573963
376,-0.000515146,0.000633534,0.001182667,0.001182667,0.001557472,0.000290935,0.00135205,0.002865854,0.001738629,0.002248923,0.002721851,0.003308459,0.009855935,0.003587586,0.01216709,0.006488048,0.005275532,0.004143636,0.005795936,0.010481409,0.008613855,0.010495563
377,-0.000540799,0.000573919,0.001138168,0.001138168,0.001495119,0.000239663,0.001316127,0.002805263,0.001685619,0.002227055,0.002741805,0.003305509,0.009802029,0.003568982,0.012051513,0.006487035,0.0052063,0.004135948,0.005699889,0.010424747,0.008551612,0.010434334
378,-0.000564834,0.000541305,0.001119327,0.001119327,0.001463383,0.000217239,0.001302386,0.00272452,0.00167186,0.002177498,0.002744162,0.003278429,0.009784503,0.003546856,0.012011949,0.006449897,0.005144612,0.004114519,0.005609111,0.010324105,0.008499521,0.010356127
379,-0.000570671,0.000573325,0.001127961,0.001127961,0.00146421,0.000215313,0.001306074,0.002706116,0.001697984,0.002149228,0.002718976,0.003257458,0.009797728,0.003545417,0.012042516,0.006412053,0.005145557,0.00409034,0.00559956,0.010257382,0.008432064,0.010260748
380,-0.000617704,0.000572315,0.001131354,0.001131354,0.001452684,0.000204415,0.00127602,0.002728072,0.001726949,0.002125982,0.002675205,0.003213082,0.009784113,0.003521654,0.012044838,0.006343676,0.005101455,0.004082357,0.005586252,0.010195262,0.008442732,0.010218708
