WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_003,WMS_47_WATER_003,WMS_47_WATER_003
405.34,227243.68,212970.06,405.34,227243.68,200208.87,405.34,227243.68,202477.53,405.34,227243.68,209519.81,405.34,73263.15,31908.75,405.34,73263.15,18030.99,405.34,73263.15,6446.42,405.34,73263.15,71150.93,405.34,24336,466,405.34,24336,447,405.34,24336,447,405.34,24336,25900
407.04,235341.42,220109.57,407.04,235341.42,207134.29,407.04,235341.42,209531.9,407.04,235341.42,216912.76,407.04,75293.63,34039.58,407.04,75293.63,18858.66,407.04,75293.63,6635.78,407.04,75293.63,72320.89,407.04,25216,485,407.04,25216,457,407.04,25216,459,407.04,25216,26608
408.74,241985.67,226525.99,408.74,241985.67,212547.48,408.74,241985.67,215185.8,408.74,241985.67,222684.21,408.74,77186.42,36086.26,408.74,77186.42,19601.35,408.74,77186.42,6813.61,408.74,77186.42,73380,408.74,26424,504,408.74,26424,482,408.74,26424,484,408.74,26424,27648
410.44,249190.18,232794.9,410.44,249190.18,218845.32,410.44,249190.18,221381.61,410.44,249190.18,228990.47,410.44,79438.7,38141.4,410.44,79438.7,20417.6,410.44,79438.7,7021.89,410.44,79438.7,74704.84,410.44,27680,526,410.44,27680,502,410.44,27680,502,410.44,27680,28756
412.14,256053.23,239307.88,412.14,256053.23,224688.93,412.14,256053.23,227524.12,412.14,256053.23,235719.59,412.14,82234.77,40423.65,412.14,82234.77,21329.51,412.14,82234.77,7267.67,412.14,82234.77,76640.87,412.14,29320,555,412.14,29320,528,412.14,29320,534,412.14,29320,30240
413.84,261322.5,244292.88,413.84,261322.5,229078.6,413.84,261322.5,231931.28,413.84,261322.5,240316.42,413.84,84463.47,42350.18,413.84,84463.47,22084.98,413.84,84463.47,7475.62,413.84,84463.47,78045.79,413.84,30800,584,413.84,30800,556,413.84,30800,558,413.84,30800,31524
415.53,265258.19,247417.22,415.53,265258.19,231932.61,415.53,265258.19,234962.21,415.53,265258.19,243672.3,415.53,85702.85,43559.37,415.53,85702.85,22513.66,415.53,85702.85,7579.16,415.53,85702.85,78404.79,415.53,32336,609,415.53,32336,578,415.53,32336,583,415.53,32336,32800
417.23,266870.39,248789.96,417.23,266870.39,233245.7,417.23,266870.39,236272.74,417.23,266870.39,244862.99,417.23,86760.75,44623.86,417.23,86760.75,22903.34,417.23,86760.75,7652.98,417.23,86760.75,78642.73,417.23,33672,637,417.23,33672,603,417.23,33672,606,417.23,33672,33880
418.92,267316.05,248913.29,418.92,267316.05,233366.12,418.92,267316.05,236380.37,418.92,267316.05,245105.82,418.92,86671.62,44992.83,418.92,86671.62,22959.4,418.92,86671.62,7636.89,418.92,86671.62,77811.47,418.92,34848,653,418.92,34848,622,418.92,34848,630,418.92,34848,34832
420.61,266342.84,248442.62,420.61,266342.84,232702.78,420.61,266342.84,235673.29,420.61,266342.84,244430.51,420.61,87517.99,45634.24,420.61,87517.99,23188.36,420.61,87517.99,7686.62,420.61,87517.99,77780.02,420.61,36008,675,420.61,36008,639,420.61,36008,647,420.61,36008,35660
422.3,264657.89,246544.13,422.3,264657.89,230628.28,422.3,264657.89,233659.87,422.3,264657.89,242413.59,422.3,87331.18,45770.29,422.3,87331.18,23198.51,422.3,87331.18,7656.44,422.3,87331.18,76938.62,422.3,36560,686,422.3,36560,650,422.3,36560,655,422.3,36560,35916
423.99,263694.22,245449.35,423.99,263694.22,229289.61,423.99,263694.22,232603.47,423.99,263694.22,241465.26,423.99,86835.75,45652.69,423.99,86835.75,23102.25,423.99,86835.75,7610.31,423.99,86835.75,75744.47,423.99,36984,692,423.99,36984,656,423.99,36984,662,423.99,36984,36000
425.68,262970.2,244819.06,425.68,262970.2,228733.9,425.68,262970.2,231759.09,425.68,262970.2,240797.77,425.68,86814.12,45704.6,425.68,86814.12,23112.14,425.68,86814.12,7576.41,425.68,86814.12,74907.04,425.68,37240,695,425.68,37240,665,425.68,37240,667,425.68,37240,35940
427.37,259767.12,241842.09,427.37,259767.12,225811.58,427.37,259767.12,229017.69,427.37,259767.12,237834.47,427.37,86770.95,45767.5,427.37,86770.95,23142.86,427.37,86770.95,7568.82,427.37,86770.95,74024.42,427.37,37280,696,427.37,37280,663,427.37,37280,669,427.37,37280,35672
429.06,260331.69,241939.09,429.06,260331.69,225654.73,429.06,260331.69,229107.88,429.06,260331.69,237977.05,429.06,86476.43,45762.48,429.06,86476.43,23116.48,429.06,86476.43,7543.39,429.06,86476.43,73004.64,429.06,37368,700,429.06,37368,666,429.06,37368,670,429.06,37368,35420
430.74,276103.35,256071.75,430.74,276103.35,238788.17,430.74,276103.35,242223.19,430.74,276103.35,251732.78,430.74,87951.24,46617.39,430.74,87951.24,23582.76,430.74,87951.24,7664.73,430.74,87951.24,73349.61,430.74,38240,714,430.74,38240,679,430.74,38240,691,430.74,38240,35944
