WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_003,WMS_50_PANEL_003,WMS_50_PANEL_003,WAVELENGTH,REFERENCC,WMS_50_WATER_000,WMS_50_WATER_001,WMS_50_WATER_002,SKY
386.53,151439.65,138985.01,386.53,151439.65,170507.38,386.53,151439.65,135898.9,386.53,151439.65,146038.97,386.53,56202.99,10760.47,386.53,56202.99,7540.8,386.53,56202.99,3424.43,386.53,56202.99,31702.44,386.53,17312,220,215,226,8042
388.25,163716.27,150137.13,388.25,163716.27,183865.97,388.25,163716.27,146632.83,388.25,163716.27,157912.28,388.25,60823.1,12337.29,388.25,60823.1,8480.14,388.25,60823.1,3759.67,388.25,60823.1,33837.03,388.25,18848,241,234,243,8702
389.96,177384.3,162846.38,389.96,177384.3,199408.16,389.96,177384.3,159157.66,389.96,177384.3,170766.29,389.96,66701.47,14253.4,389.96,66701.47,9813.13,389.96,66701.47,4207.12,389.96,66701.47,37081.12,389.96,20752,261,257,267,9516
391.68,192289.47,176993.71,391.68,192289.47,216871.93,391.68,192289.47,172514.24,391.68,192289.47,185843.4,391.68,72881.9,16541.36,391.68,72881.9,11101.58,391.68,72881.9,4673.07,391.68,72881.9,40146.11,391.68,22608,286,278,295,10314
393.39,204083.76,186508.69,393.39,204083.76,228901.88,393.39,204083.76,182354.59,393.39,204083.76,195882.06,393.39,77530.34,18677.76,393.39,77530.34,12442.81,393.39,77530.34,5052.35,393.39,77530.34,42506.15,393.39,24752,306,304,319,11172
395.1,227475.13,208695.7,395.1,227475.13,256121.72,395.1,227475.13,203390.78,395.1,227475.13,218881.15,395.1,85277.67,21716.67,395.1,85277.67,14049.63,395.1,85277.67,5621.18,395.1,85277.67,46373.05,395.1,27728,345,339,357,12476
396.81,244567.76,223456.2,396.81,244567.76,274960.25,396.81,244567.76,218764.74,396.81,244567.76,235490.81,396.81,93322.65,24792.87,396.81,93322.65,15838.45,396.81,93322.65,6201.45,396.81,93322.65,50465.66,396.81,31072,386,376,400,13890
398.52,274826,251638.19,398.52,274826,309204.46,398.52,274826,245992.46,398.52,274826,264845.16,398.52,103476.7,28653.92,398.52,103476.7,18044.16,398.52,103476.7,6930.37,398.52,103476.7,55757.96,398.52,35344,434,425,453,15744
400.23,292343.6,268290.01,400.23,292343.6,329543.88,400.23,292343.6,261473.2,400.23,292343.6,281631.47,400.23,112431.02,32617.35,400.23,112431.02,20138.74,400.23,112431.02,7598.36,400.23,112431.02,60428.58,400.23,39296,478,463,497,17398
401.93,309853.11,284503.27,401.93,309853.11,349925.37,401.93,309853.11,277385.81,401.93,309853.11,299030.68,401.93,117723.3,35770.14,401.93,117723.3,21560.91,401.93,117723.3,7975.37,401.93,117723.3,62537.49,401.93,42032,509,499,527,18466
